Sensor type	Sensor SN	Board SN	Averaging	Ch. A Mode	Ch. A Gain	Ch. B Mode	Ch. B Gain			
SGX-4CO	112395	2077325E2037	1	Current	8x, ( ± 62µA)	OFF	N/A			
Time	Concentration A, PPM	Concentration A, %	Current A, uA	Current raw A, uA	Concentration B, PPM	Concentration B, %	Current B, uA	Current raw B, uA	Bias, mV	Temperature, C
1/24/2025 3:00:48 PM	267.400	0.027	-0.646000	-0.255000	0	0	0	0.0	-0.0	22
1/24/2025 3:00:49 PM	267.400	0.027	-0.646000	-0.255000	0	0	0	0.0	-0.0	22
1/24/2025 3:00:50 PM	269.400	0.027	-0.651000	-0.260000	0	0	0	0.0	-0.0	22
1/24/2025 3:00:51 PM	269.600	0.027	-0.652000	-0.260000	0	0	0	0.0	-0.0	22
1/24/2025 3:00:52 PM	269.900	0.027	-0.652000	-0.261000	0	0	0	0.0	-0.1	22
1/24/2025 3:00:53 PM	269.600	0.027	-0.652000	-0.260000	0	0	0	0.0	-0.0	22
1/24/2025 3:00:54 PM	269.800	0.027	-0.652000	-0.261000	0	0	0	0.0	-0.1	22
1/24/2025 3:00:55 PM	268.900	0.027	-0.650000	-0.259000	0	0	0	0.0	-0.1	22
1/24/2025 3:00:56 PM	269.000	0.027	-0.650000	-0.259000	0	0	0	0.0	-0.0	22
1/24/2025 3:00:57 PM	270.100	0.027	-0.653000	-0.262000	0	0	0	0.0	-0.1	22
1/24/2025 3:00:58 PM	270.500	0.027	-0.654000	-0.263000	0	0	0	0.0	-0.1	22
1/24/2025 3:00:59 PM	269.900	0.027	-0.652000	-0.261000	0	0	0	0.0	-0.0	22
1/24/2025 3:01:00 PM	270.300	0.027	-0.653000	-0.262000	0	0	0	0.0	-0.0	22
1/24/2025 3:01:01 PM	270.700	0.027	-0.654000	-0.263000	0	0	0	0.0	-0.1	22
1/24/2025 3:01:02 PM	270.400	0.027	-0.654000	-0.262000	0	0	0	0.0	-0.1	22
1/24/2025 3:01:03 PM	270.700	0.027	-0.654000	-0.263000	0	0	0	0.0	-0.1	22
1/24/2025 3:01:04 PM	271.400	0.027	-0.656000	-0.265000	0	0	0	0.0	-0.1	22
1/24/2025 3:01:05 PM	271.200	0.027	-0.655000	-0.264000	0	0	0	0.0	-0.1	22
1/24/2025 3:01:06 PM	271.400	0.027	-0.656000	-0.265000	0	0	0	0.0	-0.1	22
1/24/2025 3:01:07 PM	270.800	0.027	-0.654000	-0.263000	0	0	0	0.0	-0.0	22
1/24/2025 3:01:08 PM	270.500	0.027	-0.654000	-0.262000	0	0	0	0.0	-0.1	22
1/24/2025 3:01:09 PM	270.600	0.027	-0.654000	-0.263000	0	0	0	0.0	-0.1	22
