Sensor type	Sensor SN	Board SN	Averaging	Ch. A Mode	Ch. A Gain	Ch. B Mode	Ch. B Gain			
SGX-4CO	112391	205932562037	1	Current	8x, ( ± 62µA)	OFF	N/A			
Time	Concentration A, PPM	Concentration A, %	Current A, uA	Current raw A, uA	Concentration B, PPM	Concentration B, %	Current B, uA	Current raw B, uA	Bias, mV	Temperature, C
2/10/2025 5:57:19 PM	0.000	0.000	0.000000	0.000000	0	0	0	0.0	0.0	-273
2/10/2025 5:57:19 PM	0.800	0.000	0.056000	-0.200000	0	0	0	0.0	0.2	18
2/10/2025 5:57:20 PM	0.600	0.000	0.039000	-0.217000	0	0	0	0.0	-0.0	18
2/10/2025 5:57:21 PM	0.500	0.000	0.033000	-0.223000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:22 PM	0.400	0.000	0.028000	-0.228000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:23 PM	0.300	0.000	0.024000	-0.232000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:24 PM	0.200	0.000	0.018000	-0.238000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:25 PM	0.200	0.000	0.013000	-0.243000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:26 PM	0.100	0.000	0.012000	-0.245000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:27 PM	0.100	0.000	0.010000	-0.246000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:28 PM	0.100	0.000	0.008000	-0.248000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:29 PM	0.100	0.000	0.008000	-0.248000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:30 PM	0.100	0.000	0.007000	-0.249000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:31 PM	0.000	0.000	0.005000	-0.251000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:32 PM	0.000	0.000	0.002000	-0.255000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:33 PM	0.000	0.000	0.001000	-0.255000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:34 PM	0.000	0.000	0.001000	-0.255000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:35 PM	0.000	0.000	0.001000	-0.256000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:36 PM	0.000	0.000	-0.001000	-0.258000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:37 PM	0.000	0.000	-0.005000	-0.262000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:38 PM	-0.100	-0.000	-0.007000	-0.264000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:39 PM	-0.100	-0.000	-0.008000	-0.265000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:40 PM	-0.100	-0.000	-0.010000	-0.267000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:41 PM	-0.100	-0.000	-0.010000	-0.267000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:42 PM	-0.100	-0.000	-0.011000	-0.268000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:43 PM	-0.100	-0.000	-0.011000	-0.268000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:44 PM	-0.200	-0.000	-0.013000	-0.270000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:45 PM	-0.100	-0.000	-0.011000	-0.268000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:46 PM	-0.100	-0.000	-0.012000	-0.269000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:47 PM	-0.100	-0.000	-0.009000	-0.266000	0	0	0	0.0	-0.2	18
2/10/2025 5:57:48 PM	-0.100	-0.000	-0.010000	-0.267000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:49 PM	-0.100	-0.000	-0.011000	-0.269000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:50 PM	-0.200	-0.000	-0.015000	-0.272000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:51 PM	-0.200	-0.000	-0.015000	-0.272000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:52 PM	-0.200	-0.000	-0.016000	-0.273000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:53 PM	-0.200	-0.000	-0.016000	-0.273000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:54 PM	-0.200	-0.000	-0.017000	-0.274000	0	0	0	0.0	-0.2	18
2/10/2025 5:57:55 PM	-0.200	-0.000	-0.018000	-0.275000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:56 PM	-0.300	-0.000	-0.019000	-0.276000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:57 PM	-0.200	-0.000	-0.018000	-0.275000	0	0	0	0.0	-0.1	18
2/10/2025 5:57:58 PM	-0.300	-0.000	-0.020000	-0.277000	0	0	0	0.0	-0.2	18
2/10/2025 5:57:59 PM	-0.300	-0.000	-0.019000	-0.276000	0	0	0	0.0	-0.1	18
2/10/2025 5:58:00 PM	-0.300	-0.000	-0.020000	-0.277000	0	0	0	0.0	-0.2	18
2/10/2025 5:58:01 PM	-0.300	-0.000	-0.019000	-0.276000	0	0	0	0.0	-0.1	18
2/10/2025 5:58:02 PM	-0.300	-0.000	-0.022000	-0.279000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:03 PM	-0.300	-0.000	-0.020000	-0.277000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:04 PM	-0.200	-0.000	-0.017000	-0.274000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:05 PM	-0.200	-0.000	-0.014000	-0.272000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:06 PM	-0.200	-0.000	-0.015000	-0.272000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:07 PM	-0.200	-0.000	-0.017000	-0.274000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:08 PM	-0.200	-0.000	-0.017000	-0.274000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:09 PM	-0.200	-0.000	-0.017000	-0.275000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:10 PM	-0.200	-0.000	-0.016000	-0.274000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:11 PM	-0.200	-0.000	-0.014000	-0.271000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:12 PM	-0.200	-0.000	-0.014000	-0.271000	0	0	0	0.0	-0.2	19
2/10/2025 5:58:13 PM	-0.200	-0.000	-0.015000	-0.272000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:14 PM	-0.200	-0.000	-0.016000	-0.273000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:15 PM	-0.200	-0.000	-0.015000	-0.272000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:16 PM	-0.200	-0.000	-0.015000	-0.273000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:17 PM	-0.200	-0.000	-0.018000	-0.275000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:18 PM	-0.200	-0.000	-0.018000	-0.275000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:19 PM	-0.200	-0.000	-0.019000	-0.276000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:20 PM	-0.300	-0.000	-0.024000	-0.282000	0	0	0	0.0	-0.2	19
2/10/2025 5:58:21 PM	-0.400	-0.000	-0.026000	-0.283000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:22 PM	-0.300	-0.000	-0.024000	-0.281000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:23 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:24 PM	-0.300	-0.000	-0.024000	-0.281000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:25 PM	-0.300	-0.000	-0.024000	-0.281000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:26 PM	-0.400	-0.000	-0.025000	-0.282000	0	0	0	0.0	-0.2	19
2/10/2025 5:58:27 PM	-0.300	-0.000	-0.023000	-0.281000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:28 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:29 PM	-0.400	-0.000	-0.026000	-0.283000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:30 PM	-0.300	-0.000	-0.025000	-0.282000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:31 PM	-0.300	-0.000	-0.025000	-0.282000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:32 PM	-0.400	-0.000	-0.026000	-0.283000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:33 PM	-0.300	-0.000	-0.024000	-0.281000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:34 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:35 PM	-0.300	-0.000	-0.022000	-0.279000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:36 PM	-0.300	-0.000	-0.022000	-0.279000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:37 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:38 PM	-0.300	-0.000	-0.024000	-0.281000	0	0	0	0.0	-0.2	19
2/10/2025 5:58:39 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.2	19
2/10/2025 5:58:40 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:41 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:42 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:43 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:44 PM	-0.300	-0.000	-0.024000	-0.281000	0	0	0	0.0	-0.2	19
2/10/2025 5:58:45 PM	-0.300	-0.000	-0.024000	-0.281000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:46 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:47 PM	-0.300	-0.000	-0.022000	-0.279000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:48 PM	-0.300	-0.000	-0.022000	-0.279000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:49 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:50 PM	-0.300	-0.000	-0.024000	-0.281000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:51 PM	-0.300	-0.000	-0.024000	-0.281000	0	0	0	0.0	-0.2	19
2/10/2025 5:58:52 PM	-0.300	-0.000	-0.024000	-0.281000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:53 PM	-0.300	-0.000	-0.020000	-0.277000	0	0	0	0.0	-0.2	19
2/10/2025 5:58:54 PM	-0.300	-0.000	-0.019000	-0.276000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:55 PM	-0.300	-0.000	-0.019000	-0.277000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:56 PM	-0.300	-0.000	-0.019000	-0.276000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:57 PM	-0.300	-0.000	-0.020000	-0.277000	0	0	0	0.0	-0.1	19
2/10/2025 5:58:58 PM	-0.300	-0.000	-0.021000	-0.278000	0	0	0	0.0	-0.2	19
2/10/2025 5:58:59 PM	-0.300	-0.000	-0.022000	-0.279000	0	0	0	0.0	-0.2	19
2/10/2025 5:59:00 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
2/10/2025 5:59:01 PM	-0.400	-0.000	-0.025000	-0.283000	0	0	0	0.0	-0.1	19
2/10/2025 5:59:02 PM	-0.300	-0.000	-0.024000	-0.281000	0	0	0	0.0	-0.1	19
2/10/2025 5:59:03 PM	-0.300	-0.000	-0.025000	-0.282000	0	0	0	0.0	-0.2	19
2/10/2025 5:59:04 PM	-0.400	-0.000	-0.026000	-0.283000	0	0	0	0.0	-0.2	19
2/10/2025 5:59:05 PM	-0.400	-0.000	-0.026000	-0.283000	0	0	0	0.0	-0.2	19
2/10/2025 5:59:06 PM	-0.300	-0.000	-0.025000	-0.282000	0	0	0	0.0	-0.1	19
2/10/2025 5:59:07 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
2/10/2025 5:59:08 PM	-0.300	-0.000	-0.023000	-0.280000	0	0	0	0.0	-0.1	19
