Sensor type	Sensor SN	Board SN	Averaging	Ch. A Mode	Ch. A Gain	Ch. B Mode	Ch. B Gain			
SGX-4CO	112391	205932562037	1	Current	8x, ( ± 62µA)	OFF	N/A			
Time	Concentration A, PPM	Concentration A, %	Current A, uA	Current raw A, uA	Concentration B, PPM	Concentration B, %	Current B, uA	Current raw B, uA	Bias, mV	Temperature, C
1/24/2025 2:58:55 PM	3.900	0.000	0.254000	-0.036000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:58:56 PM	3.800	0.000	0.248000	-0.043000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:58:57 PM	3.700	0.000	0.244000	-0.047000	-8457	-1	-1	0.0	-0.0	22
1/24/2025 2:58:58 PM	3.700	0.000	0.242000	-0.049000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:58:59 PM	3.700	0.000	0.240000	-0.051000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:00 PM	3.600	0.000	0.236000	-0.055000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:01 PM	3.600	0.000	0.233000	-0.058000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:02 PM	3.600	0.000	0.233000	-0.058000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:03 PM	3.500	0.000	0.231000	-0.060000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:04 PM	3.500	0.000	0.228000	-0.063000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:05 PM	3.500	0.000	0.226000	-0.065000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:06 PM	3.500	0.000	0.226000	-0.065000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:07 PM	3.400	0.000	0.224000	-0.067000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:08 PM	3.400	0.000	0.222000	-0.068000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:09 PM	3.400	0.000	0.222000	-0.069000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:10 PM	3.400	0.000	0.222000	-0.069000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:11 PM	3.300	0.000	0.219000	-0.072000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:12 PM	3.300	0.000	0.217000	-0.074000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:13 PM	3.300	0.000	0.217000	-0.074000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:14 PM	3.300	0.000	0.217000	-0.074000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:15 PM	3.300	0.000	0.214000	-0.077000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:16 PM	3.300	0.000	0.214000	-0.077000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:17 PM	3.300	0.000	0.213000	-0.078000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:18 PM	3.200	0.000	0.211000	-0.080000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:19 PM	3.200	0.000	0.210000	-0.081000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:20 PM	3.200	0.000	0.209000	-0.082000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:21 PM	3.200	0.000	0.207000	-0.084000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:22 PM	3.200	0.000	0.207000	-0.084000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:23 PM	3.100	0.000	0.205000	-0.086000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:24 PM	3.100	0.000	0.205000	-0.086000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:25 PM	3.100	0.000	0.202000	-0.089000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:26 PM	3.100	0.000	0.202000	-0.089000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:27 PM	3.100	0.000	0.200000	-0.091000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:28 PM	3.100	0.000	0.200000	-0.091000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:29 PM	3.000	0.000	0.199000	-0.092000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:30 PM	3.000	0.000	0.197000	-0.094000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:31 PM	3.000	0.000	0.195000	-0.096000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:32 PM	3.000	0.000	0.196000	-0.095000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:33 PM	3.000	0.000	0.193000	-0.098000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:34 PM	2.900	0.000	0.192000	-0.099000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:35 PM	2.900	0.000	0.188000	-0.103000	-8457	-1	-1	0.0	-0.0	22
1/24/2025 2:59:36 PM	2.900	0.000	0.189000	-0.102000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:37 PM	2.900	0.000	0.189000	-0.102000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:38 PM	2.900	0.000	0.190000	-0.101000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:39 PM	2.800	0.000	0.186000	-0.105000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:40 PM	2.800	0.000	0.185000	-0.106000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:41 PM	2.800	0.000	0.183000	-0.108000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:42 PM	2.800	0.000	0.182000	-0.109000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:43 PM	2.800	0.000	0.183000	-0.108000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:44 PM	2.800	0.000	0.183000	-0.108000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:45 PM	2.700	0.000	0.179000	-0.112000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:46 PM	2.700	0.000	0.178000	-0.113000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:47 PM	2.700	0.000	0.178000	-0.113000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:48 PM	2.700	0.000	0.178000	-0.113000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:49 PM	2.700	0.000	0.177000	-0.114000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:50 PM	2.700	0.000	0.176000	-0.115000	-8457	-1	-1	0.0	-0.0	22
1/24/2025 2:59:51 PM	2.700	0.000	0.178000	-0.113000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:52 PM	2.700	0.000	0.176000	-0.115000	-8457	-1	-1	0.0	-0.0	22
1/24/2025 2:59:53 PM	2.700	0.000	0.176000	-0.115000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:54 PM	2.700	0.000	0.176000	-0.115000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:55 PM	2.700	0.000	0.174000	-0.117000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:56 PM	2.700	0.000	0.174000	-0.117000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:57 PM	2.600	0.000	0.173000	-0.118000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:58 PM	2.600	0.000	0.173000	-0.118000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 2:59:59 PM	2.600	0.000	0.172000	-0.119000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:00 PM	2.600	0.000	0.172000	-0.119000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:01 PM	2.600	0.000	0.170000	-0.121000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:02 PM	2.600	0.000	0.170000	-0.121000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:03 PM	2.600	0.000	0.172000	-0.119000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:04 PM	2.600	0.000	0.169000	-0.122000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:05 PM	2.500	0.000	0.166000	-0.125000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:06 PM	2.400	0.000	0.160000	-0.131000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:07 PM	2.500	0.000	0.162000	-0.129000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:08 PM	2.500	0.000	0.162000	-0.129000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:09 PM	2.500	0.000	0.162000	-0.129000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:10 PM	2.400	0.000	0.160000	-0.131000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:11 PM	2.400	0.000	0.160000	-0.131000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:12 PM	2.400	0.000	0.159000	-0.132000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:13 PM	2.400	0.000	0.157000	-0.133000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:14 PM	2.400	0.000	0.157000	-0.134000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:15 PM	2.400	0.000	0.156000	-0.135000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:16 PM	2.400	0.000	0.157000	-0.134000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:17 PM	2.400	0.000	0.155000	-0.136000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:18 PM	2.400	0.000	0.156000	-0.135000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:19 PM	2.400	0.000	0.155000	-0.136000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:20 PM	2.400	0.000	0.155000	-0.136000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:21 PM	2.300	0.000	0.154000	-0.137000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:22 PM	2.300	0.000	0.152000	-0.139000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:23 PM	2.300	0.000	0.152000	-0.139000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:24 PM	2.300	0.000	0.151000	-0.140000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:25 PM	2.300	0.000	0.151000	-0.140000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:26 PM	2.300	0.000	0.150000	-0.141000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:27 PM	2.300	0.000	0.151000	-0.140000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:28 PM	2.300	0.000	0.150000	-0.141000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:29 PM	2.300	0.000	0.150000	-0.141000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:30 PM	2.200	0.000	0.148000	-0.143000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:31 PM	2.300	0.000	0.148000	-0.142000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:32 PM	2.300	0.000	0.149000	-0.142000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:33 PM	2.300	0.000	0.148000	-0.143000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:34 PM	2.200	0.000	0.145000	-0.146000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:35 PM	2.200	0.000	0.146000	-0.145000	-8457	-1	-1	0.0	-0.1	22
1/24/2025 3:00:36 PM	2.200	0.000	0.144000	-0.147000	-8457	-1	-1	0.0	-0.1	23
1/24/2025 3:00:37 PM	2.200	0.000	0.145000	-0.146000	-8457	-1	-1	0.0	-0.1	23
1/24/2025 3:00:38 PM	2.200	0.000	0.144000	-0.147000	-8457	-1	-1	0.0	-0.1	23
1/24/2025 3:00:39 PM	2.100	0.000	0.141000	-0.150000	-8457	-1	-1	0.0	-0.1	23
1/24/2025 3:00:40 PM	2.100	0.000	0.140000	-0.151000	-8457	-1	-1	0.0	-0.1	23
1/24/2025 3:00:41 PM	2.100	0.000	0.141000	-0.150000	-8457	-1	-1	0.0	-0.1	23
1/24/2025 3:00:42 PM	2.100	0.000	0.139000	-0.152000	-8457	-1	-1	0.0	-0.1	23
1/24/2025 3:00:43 PM	2.100	0.000	0.140000	-0.151000	-8457	-1	-1	0.0	-0.1	23
