Sensor type	Sensor SN	Board SN	Averaging	Ch. A Mode	Ch. A Gain	Ch. B Mode	Ch. B Gain			
PS4-VOC-1000	S12541	2077325E2037	1	Current	8x, ( ± 62µA)	OFF	N/A			
Time	Concentration A, PPM	Concentration A, %	Current A, uA	Current raw A, uA	Concentration B, PPM	Concentration B, %	Current B, uA	Current raw B, uA	Bias, mV	Temperature, C
11/6/2024 4:20:44 PM	284.300	0.028	-0.687000	-0.296000	0	0	0	0.0	-0.2	21
11/6/2024 4:20:45 PM	284.500	0.028	-0.688000	-0.296000	0	0	0	0.0	-0.2	21
11/6/2024 4:20:46 PM	284.500	0.028	-0.688000	-0.296000	0	0	0	0.0	-0.2	21
11/6/2024 4:20:47 PM	285.000	0.029	-0.689000	-0.298000	0	0	0	0.0	-0.1	21
11/6/2024 4:20:48 PM	284.900	0.028	-0.689000	-0.297000	0	0	0	0.0	-0.1	21
11/6/2024 4:20:49 PM	284.500	0.028	-0.688000	-0.296000	0	0	0	0.0	-0.2	21
11/6/2024 4:20:50 PM	284.400	0.028	-0.687000	-0.296000	0	0	0	0.0	-0.2	21
11/6/2024 4:20:51 PM	284.900	0.028	-0.689000	-0.297000	0	0	0	0.0	-0.2	21
11/6/2024 4:20:52 PM	284.300	0.028	-0.687000	-0.296000	0	0	0	0.0	-0.2	21
11/6/2024 4:20:53 PM	285.000	0.029	-0.689000	-0.298000	0	0	0	0.0	-0.2	21
11/6/2024 4:20:54 PM	284.500	0.028	-0.688000	-0.296000	0	0	0	0.0	-0.1	21
11/6/2024 4:20:55 PM	285.000	0.029	-0.689000	-0.298000	0	0	0	0.0	-0.2	21
11/6/2024 4:20:56 PM	284.500	0.028	-0.688000	-0.296000	0	0	0	0.0	-0.1	21
11/6/2024 4:20:57 PM	285.000	0.029	-0.689000	-0.298000	0	0	0	0.0	-0.1	21
11/6/2024 4:20:58 PM	284.400	0.028	-0.687000	-0.296000	0	0	0	0.0	-0.1	21
11/6/2024 4:20:59 PM	284.700	0.028	-0.688000	-0.297000	0	0	0	0.0	-0.2	21
11/6/2024 4:21:00 PM	285.000	0.029	-0.689000	-0.297000	0	0	0	0.0	-0.1	21
11/6/2024 4:21:01 PM	285.200	0.029	-0.689000	-0.298000	0	0	0	0.0	-0.2	21
11/6/2024 4:21:02 PM	284.900	0.028	-0.689000	-0.297000	0	0	0	0.0	-0.2	21
11/6/2024 4:21:03 PM	285.500	0.029	-0.690000	-0.299000	0	0	0	0.0	-0.2	21
11/6/2024 4:21:04 PM	284.700	0.028	-0.688000	-0.297000	0	0	0	0.0	-0.1	21
11/6/2024 4:21:05 PM	285.800	0.029	-0.691000	-0.300000	0	0	0	0.0	-0.1	21
11/6/2024 4:21:06 PM	285.000	0.029	-0.689000	-0.298000	0	0	0	0.0	-0.1	21
11/6/2024 4:21:07 PM	284.600	0.028	-0.688000	-0.297000	0	0	0	0.0	-0.1	21
11/6/2024 4:21:08 PM	285.000	0.029	-0.689000	-0.298000	0	0	0	0.0	-0.1	21
11/6/2024 4:21:09 PM	285.300	0.029	-0.690000	-0.298000	0	0	0	0.0	-0.1	21
11/6/2024 4:21:10 PM	285.300	0.029	-0.690000	-0.298000	0	0	0	0.0	-0.1	21
11/6/2024 4:21:11 PM	284.800	0.028	-0.688000	-0.297000	0	0	0	0.0	-0.1	21
11/6/2024 4:21:12 PM	286.000	0.029	-0.691000	-0.300000	0	0	0	0.0	-0.1	21
11/6/2024 4:21:13 PM	286.800	0.029	-0.693000	-0.302000	0	0	0	0.0	-0.1	21
11/6/2024 4:21:14 PM	286.400	0.029	-0.692000	-0.301000	0	0	0	0.0	-0.1	21
